epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,4344.25,0.60185,0.74372,1.09717,0.90691,0.89481,0.94605,0.81264,0.57384,0.44569,0.99823,0.000215443,0.000215443,0.000215443
66,4407.56,0.59379,0.72415,1.09474,0.92372,0.87867,0.94607,0.8102,0.57893,0.45478,1.00485,0.000209622,0.000209622,0.000209622
67,4470.62,0.59509,0.72601,1.09067,0.91411,0.882,0.94591,0.80813,0.583,0.46658,1.00451,0.000203801,0.000203801,0.000203801
68,4529.42,0.58485,0.71661,1.08408,0.92053,0.88728,0.94851,0.81325,0.579,0.43769,1.00889,0.00019798,0.00019798,0.00019798
69,4593.07,0.58317,0.71256,1.08275,0.90111,0.91148,0.94964,0.81586,0.56934,0.43923,0.99636,0.000192158,0.000192158,0.000192158
70,4656.74,0.58654,0.71744,1.08904,0.92536,0.88973,0.94844,0.81096,0.58095,0.43736,1.01111,0.000186337,0.000186337,0.000186337
71,4715.97,0.58183,0.69291,1.08203,0.91491,0.89314,0.94429,0.81019,0.57467,0.43798,1.00882,0.000180516,0.000180516,0.000180516
72,4779.73,0.58539,0.6997,1.08808,0.9095,0.89795,0.94641,0.81314,0.56962,0.4369,1.00041,0.000174695,0.000174695,0.000174695
73,4838.65,0.56814,0.68977,1.07907,0.89961,0.90754,0.94789,0.81081,0.57133,0.44106,1.00262,0.000168874,0.000168874,0.000168874
74,4897.76,0.56596,0.6958,1.0747,0.91219,0.91306,0.94935,0.81542,0.56897,0.43135,1.00614,0.000163052,0.000163052,0.000163052
75,4966.66,0.57288,0.68817,1.07613,0.88884,0.92514,0.95188,0.81804,0.56998,0.43946,1.00267,0.000157231,0.000157231,0.000157231
76,5025.44,0.55447,0.67259,1.07201,0.91257,0.90425,0.95027,0.81727,0.57036,0.43511,1.00232,0.00015141,0.00015141,0.00015141
77,5089.06,0.54968,0.66031,1.06799,0.90746,0.90826,0.95066,0.81389,0.57414,0.4301,1.0082,0.000145589,0.000145589,0.000145589
78,5152.67,0.55189,0.65849,1.06941,0.90581,0.90544,0.94763,0.81306,0.57635,0.43967,1.00649,0.000139768,0.000139768,0.000139768
79,5211.43,0.55522,0.65235,1.06794,0.90117,0.918,0.94783,0.81332,0.57345,0.44056,1.00109,0.000133946,0.000133946,0.000133946
80,5271.83,0.55184,0.65467,1.06702,0.88913,0.91636,0.9453,0.81073,0.57664,0.45306,1.00818,0.000128125,0.000128125,0.000128125
81,5335.3,0.54966,0.65171,1.06817,0.88308,0.92018,0.94811,0.81563,0.57106,0.45078,1.00699,0.000122304,0.000122304,0.000122304
82,5394.36,0.5414,0.64084,1.06394,0.91965,0.8936,0.9483,0.81665,0.57106,0.43504,1.0064,0.000116483,0.000116483,0.000116483
83,5457.23,0.53643,0.62929,1.06068,0.89696,0.91194,0.94644,0.81458,0.5743,0.43268,1.01262,0.000110662,0.000110662,0.000110662
84,5523.29,0.5372,0.62692,1.06129,0.89828,0.91072,0.94325,0.81297,0.577,0.44194,1.01597,0.00010484,0.00010484,0.00010484
